"prod_date","duration","total","max","co2"
2023-04-17,12,14.575276,3.020819,14.531550
2023-04-18,12,8.088601,1.742528,8.064335
2023-04-19,12,18.327399,2.873685,18.272417
2023-04-20,13,17.021961,2.648879,16.970895
2023-04-21,13,19.629689,3.095744,19.570800
2023-04-22,12,17.824082,2.963167,17.770610
2023-04-23,12,19.083087,3.278464,19.025838
2023-04-24,12,18.900175,2.91434,18.843474
2023-04-25,12,16.345269,2.653193,16.296233
2023-04-26,12,8.591957,1.827996,8.566181
2023-04-27,12,11.968111,2.164672,11.932207
2023-04-28,12,8.133692,1.710875,8.109291
2023-04-29,12,13.436515,2.147817,13.396205
2023-10-29,14,10.863425,2.360616,10.830835
2023-11-12,14,26.706046,3.531346,26.625928
2023-11-26,14,16.210511,2.776658,16.161879
2023-12-10,14,22.136120,3.153172,22.069712
2023-12-24,14,22.317932,3.354127,22.250978
2024-01-07,15,23.132698,2.991851,23.063300
2024-01-21,14,15.703416,2.606224,15.656306
2024-02-04,14,12.468142,2.676832,12.430738
2024-02-18,14,14.950567,3.318875,14.905715
2024-03-03,14,22.046552,2.910892,21.980412
2024-03-17,13,20.031697,3.218701,19.971602
2024-03-28,13,6.805530,1.259763,6.785113
2024-04-11,13,11.952074,1.995288,11.916218
2024-04-28,12,13.353274,2.323023,13.313214
2024-05-12,12,12.750824,2.246125,12.712572
2024-06-06,12,11.781538,2.159091,11.746193
2024-06-20,12,12.278808,2.087877,12.241972
2024-07-04,12,7.838823,1.427804,7.815307
2024-07-18,12,13.635265,2.228924,13.594359
2024-08-01,12,14.911158,2.416766,14.866425
2023-04-03,13,19.472885,2.808177,19.414466
2023-04-04,13,18.860599,2.925229,18.804017
2023-04-05,13,20.208199,3.105912,20.147574
2023-04-06,13,16.486936,3.133056,16.437475
2023-04-07,12,5.818111,1.388918,5.800657
2023-04-08,12,15.136221,2.886041,15.090812
2023-04-09,13,7.930484,1.51613,7.906693
2023-04-10,13,21.150172,3.149608,21.086721
2023-04-11,13,17.888465,2.80956,17.834800
2023-04-12,13,17.311297,3.141732,17.259363
2023-04-13,12,16.791773,2.668623,16.741398
2023-04-14,12,8.958980,2.165653,8.932103
2023-04-15,12,12.898311,2.661338,12.859616
2023-03-20,13,21.088933,3.399343,21.025666
2023-03-21,13,22.665177,3.343932,22.597181
2023-03-22,13,17.110609,3.311486,17.059277
2023-03-23,13,22.333606,3.06113,22.266605
2023-03-24,13,19.508132,3.194906,19.449608
2023-03-25,13,20.903924,3.13057,20.841212
2023-03-26,13,18.744488,3.196096,18.688255
2023-03-27,13,14.106300,2.346562,14.063981
2023-03-28,13,16.917440,3.111818,16.866688
2023-03-29,12,15.605686,2.739204,15.558869
2023-03-30,13,21.331616,3.340197,21.267621
2023-03-31,13,14.626568,2.383271,14.582688
2023-04-01,13,21.866523,3.164726,21.800923
2023-03-06,14,21.246667,3.344672,21.182927
2023-03-07,14,19.499287,3.38475,19.440789
2023-03-08,13,17.164462,2.86843,17.112969
2023-03-09,13,12.575508,2.602184,12.537781
2023-03-10,14,13.952552,2.793695,13.910694
2023-03-11,13,11.233878,2.069716,11.200176
2023-03-12,13,10.587573,1.638162,10.555810
2023-03-13,13,13.846942,2.755062,13.805401
2023-03-14,13,12.194486,2.651701,12.157903
2023-03-15,14,20.128375,3.310218,20.067990
2023-03-16,13,24.674150,3.470123,24.600128
2023-03-17,13,22.368598,3.427288,22.301492
2023-03-18,13,24.224557,3.401072,24.151883
2023-02-20,14,20.190658,3.419424,20.130086
2023-02-21,14,14.728372,2.866475,14.684187
2023-02-22,14,21.275734,3.4586,21.211907
2023-02-23,13,16.711914,3.049977,16.661778
2023-02-24,14,20.444140,3.282588,20.382808
2023-02-25,14,15.490199,2.550171,15.443728
2023-02-26,14,18.263817,2.932307,18.209026
2023-02-27,14,20.208309,3.392886,20.147684
2023-02-28,14,13.608957,3.04661,13.568130
2023-03-01,14,21.897742,3.229595,21.832049
2023-03-02,14,24.906309,3.533291,24.831590
2023-03-03,14,24.998693,3.405332,24.923697
2023-03-04,14,11.469357,2.750734,11.434949
2023-02-06,15,14.603256,2.404758,14.559446
2023-02-07,14,12.250856,2.917933,12.214103
2023-02-08,15,23.663557,3.586359,23.592566
2023-02-09,14,24.981511,3.12998,24.906566
2023-02-10,14,20.576009,2.96887,20.514281
2023-02-11,14,16.745206,2.323993,16.694970
2023-02-12,14,19.773808,3.271525,19.714487
2023-02-13,14,17.493472,2.428596,17.440992
2023-02-14,14,19.393132,2.995893,19.334953
2023-02-15,14,17.385497,3.234835,17.333341
2023-02-16,14,16.756367,2.576755,16.706098
2023-02-17,14,21.997952,3.48947,21.931958
2023-02-18,14,13.464485,3.088137,13.424092
2023-01-23,13,15.073784,3.169682,15.028563
2023-01-24,15,21.324350,2.631618,21.260377
2023-01-25,15,30.329314,3.730302,30.238326
2023-01-26,15,30.047009,3.728055,29.956868
